,precision,recall,f1-score,support
0,0.8564936106506977,0.9400269937210257,0.8963182632050134,17041.0
1,0.9092926244785657,0.7924046716683425,0.8468341874690032,12929.0
accuracy,0.876343009676343,0.876343009676343,0.876343009676343,0.876343009676343
macro avg,0.8828931175646317,0.866215832694684,0.8715762253370083,29970.0
weighted avg,0.8792710030357663,0.876343009676343,0.8749709286974767,29970.0
