,precision,recall,f1-score,support
0,0.8617552922679544,0.9005926882225221,0.8807460545193687,17041.0
1,0.8607022448811775,0.8095753731920489,0.8343563172578717,12929.0
accuracy,0.861327994661328,0.861327994661328,0.861327994661328,0.861327994661328
macro avg,0.861228768574566,0.8550840307072856,0.8575511858886202,29970.0
weighted avg,0.8613010096632284,0.861327994661328,0.860733611641361,29970.0
